DATA,TIPO,DEBITO,CREDITO,DESCRICAO COMPLETA,VALOR,UNIDADE DE NEGOCIO,CR
31/08/2023,MANUAL,3.3.2.01.01.010,2.1.2.02.01.015,P/ VLR DE DESP ADMINISTRATIVO (001) SALARIO NORMAL,25613.0,UN03,CR1002
31/08/2023,MANUAL,3.3.2.01.01.010,2.1.2.02.01.015,P/ VLR DE DESP ADMINISTRATIVO (004) DESCANSO SEM REM (A),48.849999999999994,UN03,CR1002
31/08/2023,MANUAL,3.3.2.01.01.010,2.1.2.02.01.015,P/ VLR DE DESP ADMINISTRATIVO (030) HORA EXTRA 70%,46.24,UN03,CR1002
31/08/2023,MANUAL,3.3.2.01.01.010,2.1.2.02.01.015,P/ VLR DE DESP ADMINISTRATIVO (033) HORA EXTRA 110%,207.77,UN03,CR1002
31/08/2023,MANUAL,3.3.2.01.01.010,2.1.2.02.01.015,P/ VLR DE DESP ADMINISTRATIVO (100) ARREDONDAMENT DO MES,1.95,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,2.1.2.02.01.025,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (101) I.N.S.S,2437.77,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,1.1.2.03.01.001,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (111) ADIANT AUTOMATICO,9385.51,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,3.3.2.01.01.010,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (113) TROCO ANTERIOR,1.98,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,3.3.2.01.02.010,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (123) CESTA BASICA,160.29999999999998,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,4.9.2.01.01.001,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (125) REFEICAO,387.9,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,3.3.2.01.01.010,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (141) DESC.HORAS,32.07,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,3.3.2.01.02.030,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (145) VALE TRANSPORTE (P),145.6,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,4.4.1.01.12.007,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (153) CONVENIO FARMACIA,338.24,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,4.9.2.01.01.005,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (161) SEGURO DE VIDA,21.0,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,1.1.2.07.01.007,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (162) ASSISTENCIA MEDICA,80.0,UN03,CR1002
31/08/2023,MANUAL,2.1.2.02.01.015,2.1.2.02.02.045,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO (190) I.R.R.F.,169.44,UN03,CR1002
31/08/2023,MANUAL,3.3.2.01.01.040,2.1.2.02.01.030,P/ VLR DE DESC DE FOLHA DE ADMINISTRATIVO VALOR FGTS,1961.1299999999999,UN03,CR1002
31/08/2023,MANUAL,3.3.2.01.01.010,2.1.2.02.01.015,P/ VLR DE CUSTO (001) SALARIO NORMAL,4466.3,UN04,CR2015
31/08/2023,MANUAL,3.2.3.01.01.010,2.1.2.02.01.015,P/ VLR DE CUSTO (100) ARREDONDAMENT DO MES,0.47,UN04,CR2015
31/08/2023,MANUAL,2.1.2.02.01.015,2.1.2.02.01.025,P/ VLR DE DESC DE FOLHA DE CUSTO (101) I.N.S.S,451.19,UN04,CR2015
31/08/2023,MANUAL,2.1.2.02.01.015,1.1.2.03.01.001,P/ VLR DE DESC DE FOLHA DE CUSTO (111) ADIANT AUTOMATICO,1787.01,UN04,CR2015
31/08/2023,MANUAL,2.1.2.02.01.015,3.2.3.01.01.010,P/ VLR DE DESC DE FOLHA DE CUSTO (113) TROCO ANTERIOR,0.67,UN04,CR2015
